star_name,decimal_degrees,star_dist,st_spttype,st_lum
HIP 100017,66.852966,17.57,G3V,1.18
HD 196067,-75.3508,43.57,G1 V,3.73
HIP 102333,-51.920841,24.17,A7III/IV,7.61
HIP 102422,61.836794,14.27,K0IV,9.37
HIP 102431,57.580298,27.29,F8IV-V,10.11
HIP 102485,-25.270517,14.68,F5V,4.06
HIP 102488,33.969453,22.29,K0III,60.04
HIP 104214,38.741494,3.5,K5.0V,0.13
HIP 104217,38.734414,3.5,K7.0V,0.1
HIP 104239 A,-13.922816,17.57,K1V,0.44
HIP 104858 A,10.007719,18.49,F5V+...,4.79
HIP 104887 A,38.04432,20.34,F1IV,11.13
HIP 105090,-38.864575,3.95,K9.0V,0.08
HIP 105199,62.585455,15.04,A7IV-V,19.93
HIP 105312 A,-26.352011,17.97,G5V,0.78
HIP 105858,-65.368144,9.26,F7V,1.54
HD 204941,-20.957119,26.9,K1/2V,0.32
GJ 832,-49.007018,4.95,M1.5V,0.03
HIP 107089,-77.389462,21.2,K0III,17.91
HIP 107310 A,28.743222,22.24,F6V,5.78
HIP 107556,-16.126566,11.87,A5mF2 (IV),8.38
HIP 107649,-47.302898,15.99,G0V,1.35
HIP 108870,-56.779806,3.62,K4V,0.23
HIP 108917 A,64.627754,29.59,Am,12.57
HIP 109176,25.345046,11.73,F5V,3.63
GJ 849,-4.640681,9.1,M3,0.03
HIP 109427,6.197789,28.3,A2V,27.66
HIP 109857,57.043465,26.2,F0IV,12.04
HIP 110109,-53.625536,13.79,G3V,1.23
HIP 110960 A,-0.020063,28.17,F3III-IV,23.18
HIP 112447,12.174084,16.3,F7V,4.86
HD 216437,-70.073887,26.75,G2/3IV,2.44
51 Peg,20.768684,15.61,G5V,1.45
Fomalhaut,-29.621837,7.7,A3V,16.47
HD 217107,-2.395346,19.86,G8IV/V,1.24
HIP 113576,-22.524488,8.22,K5/M0V,0.1
HIP 114570,49.405975,24.59,F0V,7.72
HD 219134,57.167638,6.54,K3.0V,0.31
HD 219077,-62.698971,29.35,G8V,3.03
HIP 114996,-58.235928,23.06,F3IV/V,11.42
HIP 116085,59.165242,16.93,K2V,0.58
HIP 116584,46.459176,26.41,G8III-IV,25.57
gam Cep,77.631967,14.1,K1IV,11.84
HIP 116771,5.627354,13.71,F7V,3.7
HIP 117712,75.544486,10.89,K3V,0.39
